control_hct_id,city_id,control_id,target_id,county_id,"control_hct_name","city_name","control_name","target_name"
1,4,1,1,33,"Bellevue","Bellevue","Bellevue","Bellevue"
2,34,2,2,33,"Seattle","Seattle","Seattle","Seattle"
3,2,3,3,33,"Auburn","Auburn","Auburn","Auburn"
4,6,4,4,33,"Bothell","Bothell","Bothell","Bothell"
5,7,5,5,33,"Burien","Burien","Burien","Burien"
6,14,6,6,33,"Federal Way","Federal Way","Federal Way","Federal Way"
7,16,7,7,33,"Issaquah","Issaquah","Issaquah","Issaquah"
8,18,8,8,33,"Kent","Kent","Kent","Kent"
9,20,9,9,33,"Kirkland","Kirkland","Kirkland","Kirkland"
10,30,10,10,33,"Redmond","Redmond","Redmond","Redmond"
11,31,11,11,33,"Renton","Renton","Renton","Renton"
12,33,12,12,33,"SeaTac","Sea Tac","SeaTac","SeaTac"
13,38,13,13,33,"Tukwila","Tukwila","Tukwila","Tukwila"
14,11,14,14,33,"Des Moines","Des Moines","Des Moines","Des Moines"
15,39,15,15,33,"Federal Way PAA","Uninc Urban King","Federal Way PAA","Federal Way PAA"
16,17,16,16,33,"Kenmore","Kenmore","Kenmore","Kenmore"
17,21,17,17,33,"Lake Forest Park","Lake Forest Park","Lake Forest Park","Lake Forest Park"
18,24,18,18,33,"Mercer Island","Mercer Island","Mercer Island","Mercer Island"
19,26,19,19,33,"Newcastle","Newcastle","Newcastle","Newcastle"
20,39,20,20,33,"North Highline","Uninc Urban King","North Highline","North Highline"
22,39,22,11,33,"Renton PAA East Renton","Uninc Urban King","Renton PAA - East Renton","Renton"
22,39,22,22,33,"Renton PAA East Renton","Uninc Urban King","Renton PAA - East Renton","Renton PAA - East Renton"
23,39,23,23,33,"Renton PAA Fairwood","Uninc Urban King","Renton PAA - Fairwood","Renton PAA - Fairwood"
24,39,24,24,33,"Renton PAA West Hill","Uninc Urban King","Renton PAA - West Hill","Renton PAA - West Hill"
25,35,25,25,33,"Shoreline","Shoreline","Shoreline","Shoreline"
26,40,26,26,33,"Woodinville","Woodinville","Woodinville","Woodinville"
27,1,27,27,33,"Algona","Algona","Algona","Algona"
28,3,28,28,33,"Beaux Arts","Beaux Arts","Beaux Arts","Beaux Arts"
29,5,29,29,33,"Black Diamond","Black Diamond","Black Diamond","Black Diamond"
30,8,30,30,33,"Carnation","Carnation","Carnation","Carnation"
31,9,31,31,33,"Clyde Hill","Clyde Hill","Clyde Hill","Clyde Hill"
32,10,32,32,33,"Covington","Covington","Covington","Covington"
33,12,33,33,33,"Duvall","Duvall","Duvall","Duvall"
34,13,34,34,33,"Enumclaw","Enumclaw","Enumclaw","Enumclaw"
35,15,35,35,33,"Hunts Point","Hunts Point","Hunts Point","Hunts Point"
36,22,36,36,33,"Maple Valley","Maple Valley","Maple Valley","Maple Valley"
37,23,37,37,33,"Medina","Medina","Medina","Medina"
38,25,38,38,33,"Milton","Milton","Milton","Milton"
39,27,39,39,33,"Normandy Park","Normandy Park","Normandy Park","Normandy Park"
40,28,40,40,33,"North Bend","North Bend","North Bend","North Bend"
41,29,41,41,33,"Pacific","Pacific","Pacific","Pacific"
42,32,42,42,33,"Sammamish","Sammamish","Sammamish","Sammamish"
43,36,43,43,33,"Skykomish","Skykomish","Skykomish","Skykomish"
44,37,44,44,33,"Snoqualmie","Snoqualmie","Snoqualmie","Snoqualmie"
45,41,45,45,33,"Yarrow Point","Yarrow Point","Yarrow Point","Yarrow Point"
46,39,46,46,33,"Auburn PAA","Uninc Urban King","Auburn PAA","Auburn PAA"
48,39,48,48,33,"Bellevue PAA","Uninc Urban King","Bellevue PAA","Bellevue PAA"
49,39,49,49,33,"Black Diamond PAA","Uninc Urban King","Black Diamond PAA","Black Diamond PAA"
51,39,51,51,33,"Issaquah PAA","Uninc Urban King","Issaquah PAA","Issaquah PAA"
52,39,52,52,33,"Kent PAA","Uninc Urban King","Kent PAA","Kent PAA"
53,39,53,53,33,"King UGA","Uninc Urban King","King UGA","King UGA"
57,39,57,57,33,"Newcastle PAA","Uninc Urban King","Newcastle PAA","Newcastle PAA"
58,39,58,58,33,"Pacific PAA","Uninc Urban King","Pacific PAA","Pacific PAA"
60,39,60,60,33,"Redmond PAA","Uninc Urban King","Redmond PAA","Redmond PAA"
61,39,61,61,33,"Sammamish PAA","Uninc Urban King","Sammamish PAA","Sammamish PAA"
64,19,64,64,33,"King Rural","King Rural","King Rural","King Rural"
65,43,65,65,35,"Bremerton","Bremerton","Bremerton","Bremerton"
67,48,67,67,35,"Bremerton UGA","Uninc Urban Kitsap","Bremerton UGA","Bremerton UGA"
68,47,68,68,35,"Silverdale","Silverdale UGA","Silverdale","Silverdale"
69,42,69,69,35,"Bainbridge Island","Bainbridge Island","Bainbridge Island","Bainbridge Island"
70,48,70,70,35,"Kingston UGA","Uninc Urban Kitsap","Kingston UGA","Kingston UGA"
71,45,71,71,35,"Port Orchard","Port Orchard","Port Orchard","Port Orchard"
72,48,72,72,35,"Port Orchard UGA","Uninc Urban Kitsap","Port Orchard UGA","Port Orchard UGA"
73,46,73,73,35,"Poulsbo","Poulsbo","Poulsbo","Poulsbo"
74,48,74,74,35,"Poulsbo PUTA","Uninc Urban Kitsap","Poulsbo PUTA","Poulsbo PUTA"
75,48,75,75,35,"Central Kitsap UGA","Uninc Urban Kitsap","Central Kitsap UGA","Central Kitsap UGA"
76,44,76,76,35,"Kitsap Rural","Kitsap Rural","Kitsap Rural","Kitsap Rural"
77,71,77,77,53,"Tacoma","Tacoma","Tacoma","Tacoma"
78,49,78,78,53,"Auburn","Auburn","Auburn","Auburn"
79,60,79,79,53,"Lakewood","Lakewood","Lakewood","Lakewood"
80,65,80,80,53,"Puyallup","Puyallup","Puyallup","Puyallup"
81,73,81,81,53,"University Place","University Place","University Place","University Place"
82,53,82,82,53,"DuPont","DuPont","DuPont","DuPont"
83,57,83,83,53,"Fife","Fife","Fife","Fife"
84,58,84,84,53,"Fircrest","Fircrest","Fircrest","Fircrest"
85,72,85,85,53,"Mid County Parkland Spanaway Midland South Hill","Uninc Urban Pierce","Mid-County Parkland-Spanaway-Midland South Hill","Mid-County Parkland-Spanaway-Midland South Hill"
86,70,86,86,53,"Sumner","Sumner","Sumner","Sumner"
87,50,87,87,53,"Bonney Lake","Bonney Lake","Bonney Lake","Bonney Lake"
88,51,88,88,53,"Buckley","Buckley","Buckley","Buckley"
89,52,89,89,53,"Carbonado","Carbonado","Carbonado","Carbonado"
90,54,90,90,53,"Eatonville","Eatonville","Eatonville","Eatonville"
91,55,91,91,53,"Edgewood","Edgewood","Edgewood","Edgewood"
92,59,92,92,53,"Gig Harbor","Gig Harbor","Gig Harbor","Gig Harbor"
93,61,93,93,53,"Milton","Milton","Milton","Milton"
94,62,94,94,53,"Orting","Orting","Orting","Orting"
95,63,95,95,53,"Pacific","Pacific","Pacific","Pacific"
96,66,96,96,53,"Roy","Roy","Roy","Roy"
97,67,97,97,53,"Ruston","Ruston","Ruston","Ruston"
98,68,98,98,53,"South Prairie","South Prairie","South Prairie","South Prairie"
99,69,99,99,53,"Steilacoom","Steilacoom","Steilacoom","Steilacoom"
100,74,100,100,53,"Wilkeson","Wilkeson","Wilkeson","Wilkeson"
107,72,107,107,53,"Pierce UGA","Uninc Urban Pierce","Pierce UGA","Pierce UGA"
107,72,107,124,53,"Pierce UGA","Uninc Urban Pierce","Pierce UGA","Pierce Rural"
124,64,124,124,53,"Pierce Rural","Pierce Rural","Pierce Rural","Pierce Rural"
125,80,125,125,61,"Everett","Everett","Everett","Everett"
126,76,126,126,61,"Bothell","Bothell","Bothell","Bothell"
127,85,127,127,61,"Lynnwood","Lynnwood","Lynnwood","Lynnwood"
128,75,128,128,61,"Arlington","Arlington","Arlington","Arlington"
129,96,129,129,61,"Bothell MUGA","Uninc Urban Snoh","Bothell MUGA","Bothell MUGA"
130,79,130,130,61,"Edmonds","Edmonds","Edmonds","Edmonds"
131,96,131,131,61,"Edmonds MUGA","Uninc Urban Snoh","Edmonds MUGA","Edmonds MUGA"
132,96,132,132,61,"Everett MUGA","Uninc Urban Snoh","Everett MUGA","Everett MUGA"
133,96,133,133,61,"Larch Way Overlap","Uninc Urban Snoh","Larch Way Overlap","Larch Way Overlap"
135,96,135,135,61,"Lynnwood MUGA","Uninc Urban Snoh","Lynnwood MUGA","Lynnwood MUGA"
136,86,136,136,61,"Marysville","Marysville","Marysville","Marysville"
138,87,138,138,61,"Mill Creek","Mill Creek","Mill Creek","Mill Creek"
139,96,139,139,61,"Mill Creek MUGA","Uninc Urban Snoh","Mill Creek MUGA","Mill Creek MUGA"
140,89,140,140,61,"Mountlake Terrace","Mountlake Terrace","Mountlake Terrace","Mountlake Terrace"
141,90,141,141,61,"Mukilteo","Mukilteo","Mukilteo","Mukilteo"
142,96,142,142,61,"Mukilteo MUGA","Uninc Urban Snoh","Mukilteo MUGA","Mukilteo MUGA"
143,77,143,143,61,"Brier","Brier","Brier","Brier"
144,78,144,144,61,"Darrington","Darrington","Darrington","Darrington"
145,81,145,145,61,"Gold Bar","Gold Bar","Gold Bar","Gold Bar"
146,82,146,146,61,"Granite Falls","Granite Falls","Granite Falls","Granite Falls"
147,83,147,147,61,"Index","Index","Index","Index"
148,84,148,148,61,"Lake Stevens","Lake Stevens","Lake Stevens","Lake Stevens"
149,88,149,149,61,"Monroe","Monroe","Monroe","Monroe"
150,91,150,150,61,"Snohomish","Snohomish","Snohomish","Snohomish"
151,93,151,151,61,"Stanwood","Stanwood","Stanwood","Stanwood"
152,94,152,152,61,"Sultan","Sultan","Sultan","Sultan"
153,97,153,153,61,"Woodway","Woodway","Woodway","Woodway"
155,96,155,155,61,"Arlington UGA","Uninc Urban Snoh","Arlington UGA","Arlington UGA"
156,96,156,156,61,"Brier MUGA","Uninc Urban Snoh","Brier MUGA","Brier MUGA"
157,96,157,157,61,"Darrington UGA","Uninc Urban Snoh","Darrington UGA","Darrington UGA"
158,96,158,158,61,"Gold Bar UGA","Uninc Urban Snoh","Gold Bar UGA","Gold Bar UGA"
159,96,159,159,61,"Granite Falls UGA","Uninc Urban Snoh","Granite Falls UGA","Granite Falls UGA"
161,96,161,161,61,"Lake Stevens UGA","Uninc Urban Snoh","Lake Stevens UGA","Lake Stevens UGA"
162,96,162,162,61,"Lake Stickney Gap","Uninc Urban Snoh","Lake Stickney Gap","Lake Stickney Gap"
163,96,163,163,61,"Maltby UGA","Uninc Urban Snoh","Maltby UGA","Maltby UGA"
164,96,164,164,61,"Marysville UGA","Uninc Urban Snoh","Marysville UGA","Marysville UGA"
166,96,166,166,61,"Monroe UGA","Uninc Urban Snoh","Monroe UGA","Monroe UGA"
167,96,167,167,61,"Mountlake Terrace MUGA","Uninc Urban Snoh","Mountlake Terrace MUGA","Mountlake Terrace MUGA"
168,96,168,168,61,"Paine Field Area","Uninc Urban Snoh","Paine Field Area","Paine Field Area"
169,96,169,169,61,"Silver Firs Gap","Uninc Urban Snoh","Silver Firs Gap","Silver Firs Gap"
170,96,170,170,61,"Snohomish UGA","Uninc Urban Snoh","Snohomish UGA","Snohomish UGA"
172,96,172,172,61,"Stanwood UGA","Uninc Urban Snoh","Stanwood UGA","Stanwood UGA"
174,96,174,174,61,"Sultan UGA","Uninc Urban Snoh","Sultan UGA","Sultan UGA"
175,96,175,175,61,"Woodway MUGA","Uninc Urban Snoh","Woodway MUGA","Woodway MUGA"
176,92,176,176,61,"Snohomish Rural","Snohomish Rural","Snohomish Rural","Snohomish Rural"
201,39,201,62,33,"King no growth UGA Bear Creek UPD","Uninc Urban King","King no growth UGA Bear Creek UPD","King no growth UGA"
202,39,202,30,33,"Carnation UGA","Uninc Urban King","Carnation UGA","Carnation"
203,39,203,32,33,"Covington PAA","Uninc Urban King","Covington PAA","Covington"
204,39,204,33,33,"Duvall UGA","Uninc Urban King","Duvall UGA","Duvall"
205,39,205,34,33,"Enumclaw UGA","Uninc Urban King","Enumclaw UGA","Enumclaw"
206,39,206,62,33,"King no growth UGA Milton PAA","Uninc Urban King","King no growth UGA Milton PAA","King no growth UGA"
207,39,207,40,33,"North Bend UGA","Uninc Urban King","North Bend UGA","North Bend"
208,39,208,44,33,"Snoqualmie UGA","Uninc Urban King","Snoqualmie UGA","Snoqualmie"
209,39,209,62,33,"King no growth UGA Tukwila PAA","Uninc Urban King","King no growth UGA Tukwila PAA","King no growth UGA"
210,92,210,176,61,"Tulalip Tribe","Snohomish Rural","Tulalip Tribe","Snohomish Rural"
301,19,301,64,33,"King Rural Ag and Resource","King Rural","King Rural Ag & Resource","King Rural"
302,44,302,76,35,"Kitsap Rural Ag and Resource","Kitsap Rural","Kitsap Rural Ag & Resource","Kitsap Rural"
303,64,303,124,53,"Pierce Rural Ag and Resource","Pierce Rural","Pierce Rural Ag & Resource","Pierce Rural"
304,92,304,176,61,"Snohomish Rural Ag and Resource","Snohomish Rural","Snohomish Rural Ag & Resource","Snohomish Rural"
401,43,401,65,35,"NBK Bremerton","Bremerton","NBK - Bremerton","Bremerton"
402,44,402,76,35,"NBK Bangor","Kitsap Rural","NBK - Bangor","Kitsap Rural"
403,64,403,124,53,"JBLM","Pierce Rural","JBLM","Pierce Rural"
403,72,403,107,53,"JBLM","Uninc Urban Pierce","JBLM","Pierce UGA"
404,80,404,125,61,"Naval Station Everett","Everett","Naval Station Everett","Everett"
1001,4,1,1,33,"Bellevue","Bellevue","Bellevue","Bellevue"
1002,34,2,2,33,"Seattle","Seattle","Seattle","Seattle"
1003,2,3,3,33,"Auburn","Auburn","Auburn","Auburn"
1004,6,4,4,33,"Bothell","Bothell","Bothell","Bothell"
1005,7,5,5,33,"Burien","Burien","Burien","Burien"
1006,14,6,6,33,"Federal Way","Federal Way","Federal Way","Federal Way"
1007,16,7,7,33,"Issaquah","Issaquah","Issaquah","Issaquah"
1008,18,8,8,33,"Kent","Kent","Kent","Kent"
1009,20,9,9,33,"Kirkland","Kirkland","Kirkland","Kirkland"
1010,30,10,10,33,"Redmond","Redmond","Redmond","Redmond"
1011,31,11,11,33,"Renton","Renton","Renton","Renton"
1012,33,12,12,33,"SeaTac","Sea Tac","SeaTac","SeaTac"
1013,38,13,13,33,"Tukwila","Tukwila","Tukwila","Tukwila"
1014,11,14,14,33,"Des Moines","Des Moines","Des Moines","Des Moines"
1015,39,15,15,33,"Federal Way PAA","Uninc Urban King","Federal Way PAA","Federal Way PAA"
1016,17,16,16,33,"Kenmore","Kenmore","Kenmore","Kenmore"
1017,21,17,17,33,"Lake Forest Park","Lake Forest Park","Lake Forest Park","Lake Forest Park"
1018,24,18,18,33,"Mercer Island","Mercer Island","Mercer Island","Mercer Island"
1019,26,19,19,33,"Newcastle","Newcastle","Newcastle","Newcastle"
1020,39,20,20,33,"North Highline","Uninc Urban King","North Highline","North Highline"
1024,39,24,24,33,"Renton PAA West Hill","Uninc Urban King","Renton PAA - West Hill","Renton PAA - West Hill"
1025,35,25,25,33,"Shoreline","Shoreline","Shoreline","Shoreline"
1026,40,26,26,33,"Woodinville","Woodinville","Woodinville","Woodinville"
1065,43,65,65,35,"Bremerton","Bremerton","Bremerton","Bremerton"
1068,47,68,68,35,"Silverdale","Silverdale UGA","Silverdale","Silverdale"
1069,42,69,69,35,"Bainbridge Island","Bainbridge Island","Bainbridge Island","Bainbridge Island"
1070,48,70,70,35,"Kingston UGA","Uninc Urban Kitsap","Kingston UGA","Kingston UGA"
1071,45,71,71,35,"Port Orchard","Port Orchard","Port Orchard","Port Orchard"
1072,48,72,72,35,"Port Orchard UGA","Uninc Urban Kitsap","Port Orchard UGA","Port Orchard UGA"
1073,46,73,73,35,"Poulsbo","Poulsbo","Poulsbo","Poulsbo"
1074,48,74,74,35,"Poulsbo PUTA","Uninc Urban Kitsap","Poulsbo PUTA","Poulsbo PUTA"
1077,71,77,77,53,"Tacoma","Tacoma","Tacoma","Tacoma"
1079,60,79,79,53,"Lakewood","Lakewood","Lakewood","Lakewood"
1080,65,80,80,53,"Puyallup","Puyallup","Puyallup","Puyallup"
1081,73,81,81,53,"University Place","University Place","University Place","University Place"
1082,53,82,82,53,"DuPont","DuPont","DuPont","DuPont"
1083,57,83,83,53,"Fife","Fife","Fife","Fife"
1084,58,84,84,53,"Fircrest","Fircrest","Fircrest","Fircrest"
1085,72,85,85,53,"Mid County Parkland Spanaway Midland South Hill","Uninc Urban Pierce","Mid-County Parkland-Spanaway-Midland South Hill","Mid-County Parkland-Spanaway-Midland South Hill"
1086,70,86,86,53,"Sumner","Sumner","Sumner","Sumner"
1125,80,125,125,61,"Everett","Everett","Everett","Everett"
1126,76,126,126,61,"Bothell","Bothell","Bothell","Bothell"
1127,85,127,127,61,"Lynnwood","Lynnwood","Lynnwood","Lynnwood"
1128,75,128,128,61,"Arlington","Arlington","Arlington","Arlington"
1129,96,129,129,61,"Bothell MUGA","Uninc Urban Snoh","Bothell MUGA","Bothell MUGA"
1130,79,130,130,61,"Edmonds","Edmonds","Edmonds","Edmonds"
1131,96,131,131,61,"Edmonds MUGA","Uninc Urban Snoh","Edmonds MUGA","Edmonds MUGA"
1132,96,132,132,61,"Everett MUGA","Uninc Urban Snoh","Everett MUGA","Everett MUGA"
1133,96,133,133,61,"Larch Way Overlap","Uninc Urban Snoh","Larch Way Overlap","Larch Way Overlap"
1135,96,135,135,61,"Lynnwood MUGA","Uninc Urban Snoh","Lynnwood MUGA","Lynnwood MUGA"
1136,86,136,136,61,"Marysville","Marysville","Marysville","Marysville"
1138,87,138,138,61,"Mill Creek","Mill Creek","Mill Creek","Mill Creek"
1139,96,139,139,61,"Mill Creek MUGA","Uninc Urban Snoh","Mill Creek MUGA","Mill Creek MUGA"
1140,89,140,140,61,"Mountlake Terrace","Mountlake Terrace","Mountlake Terrace","Mountlake Terrace"
1141,90,141,141,61,"Mukilteo","Mukilteo","Mukilteo","Mukilteo"
1142,96,142,142,61,"Mukilteo MUGA","Uninc Urban Snoh","Mukilteo MUGA","Mukilteo MUGA"
